accepted_fraction,accepted_fraction_terminal,avg_latency_sec,avg_reward,avg_tokens_per_sec,backend,controller_consume_delay_sec,dataset,decoupled_objective,device,dropped_fraction,dropped_fraction_terminal,dropped_interrupted_count,dropped_stale_count,effective_updates_per_second,epochs,final_policy_version,generation_chunk_size,grad_clip,grpo_epsilon,grpo_group_size,grpo_kl_coef,hf_attn_impl,hf_chat_template,hf_dtype,hf_model_id,interrupt_check_interval_sec,interrupt_count_total,interrupted_samples_count,learner_delay_sec,lr,max_interrupt_retries,max_new_tokens,max_staleness,mean_staleness,mode,num_accepted,num_dropped,num_rollout_workers,num_terminal_seen,num_total_seen,num_trainer_workers,pass_rate,pass_rate_per_update,producer_delay_sec,queue_maxsize,queue_trace_interval_sec,replay_dispatch_delay_sec,resumed,return_code,reward_per_second,reward_per_update,reward_timeout_sec,rollout_chunk_delay_sec,rollout_devices,run_dir,run_name,seed,setup_wall_clock_sec,staleness_k,temperature,top_p,total_wall_clock_sec,train_buffer_size,trainer_devices,update_batch_size,update_count,wall_clock_sec,weight_decay
0.8020833333333334,,0.0002580648892885679,0.05194805194805195,35.96418604736956,hf_trainable,,data/gsm8k_train.jsonl,0,auto,0.19791666666666666,,,19,0.075776723456807,1,20,,1.0,0.2,0,0.02,eager,1,float32,Qwen/Qwen2.5-0.5B-Instruct,,,,0.0,5e-06,,96,0,0.0,async_train,77,19,,,96,,0.05194805194805195,0.2,0.0,256,0.1,,True,0,0.0151553446913614,0.2,2.0,,,results/experiments/final_report_8h_interactive_20260421_195453/gsm8k/async/001__mode-async_train__k-0__seed-0__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-0,001__mode-async_train__k-0__seed-0__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-0,0,,0,0.9,0.95,,77,,4,20,263.93329095840454,0.0
0.8020833333333334,,0.00025194031851632256,0.0,35.11170120464662,hf_trainable,,data/gsm8k_train.jsonl,1,auto,0.19791666666666666,,,19,0.07373320249667983,1,20,,1.0,0.2,0,0.02,eager,1,float32,Qwen/Qwen2.5-0.5B-Instruct,,,,0.0,5e-06,,96,0,0.0,async_train,77,19,,,96,,0.0,0.0,0.0,256,0.1,,True,0,0.0,0.0,2.0,,,results/experiments/final_report_8h_interactive_20260421_195453/gsm8k/async/002__mode-async_train__k-0__seed-0__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-1,002__mode-async_train__k-0__seed-0__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-1,0,,0,0.9,0.95,,77,,4,20,271.24822092056274,0.0
0.8020833333333334,,0.0002479212624686105,0.05194805194805195,35.0672043135264,hf_trainable,,data/gsm8k_train.jsonl,0,auto,0.19791666666666666,,,19,0.07710327236147067,1,20,,1.0,0.2,0,0.02,eager,1,float32,Qwen/Qwen2.5-0.5B-Instruct,,,,0.0,5e-06,,96,0,0.0,async_train,77,19,,,96,,0.05194805194805195,0.2,0.0,256,0.1,,True,0,0.015420654472294135,0.2,2.0,,,results/experiments/final_report_8h_interactive_20260421_195453/gsm8k/async/003__mode-async_train__k-0__seed-1__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-0,003__mode-async_train__k-0__seed-1__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-0,1,,0,0.9,0.95,,77,,4,20,259.39236283302307,0.0
0.8020833333333334,,0.00024117742265973772,0.012987012987012988,34.871115598053,hf_trainable,,data/gsm8k_train.jsonl,1,auto,0.19791666666666666,,,19,0.07352993382466538,1,20,,1.0,0.2,0,0.02,eager,1,float32,Qwen/Qwen2.5-0.5B-Instruct,,,,0.0,5e-06,,96,0,0.0,async_train,77,19,,,96,,0.012987012987012988,0.05,0.0,256,0.1,,True,0,0.0036764966912332694,0.05,2.0,,,results/experiments/final_report_8h_interactive_20260421_195453/gsm8k/async/004__mode-async_train__k-0__seed-1__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-1,004__mode-async_train__k-0__seed-1__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-1,1,,0,0.9,0.95,,77,,4,20,271.9980688095093,0.0
1.0,,0.00025754918654759723,0.0625,34.65888876326584,hf_trainable,,data/gsm8k_train.jsonl,0,auto,0.0,,,0,0.09931117024603113,1,24,,1.0,0.2,0,0.02,eager,1,float32,Qwen/Qwen2.5-0.5B-Instruct,,,,0.0,5e-06,,96,1,0.23958333333333334,async_train,96,0,,,96,,0.0625,0.25,0.0,256,0.1,,True,0,0.024827792561507783,0.25,2.0,,,results/experiments/final_report_8h_interactive_20260421_195453/gsm8k/async/005__mode-async_train__k-2__seed-0__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-0,005__mode-async_train__k-2__seed-0__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-0,0,,2,0.9,0.95,,96,,4,24,241.6646580696106,0.0
1.0,,0.0002494653065999349,0.0,35.6288401164392,hf_trainable,,data/gsm8k_train.jsonl,1,auto,0.0,,,0,0.09231697311254307,1,24,,1.0,0.2,0,0.02,eager,1,float32,Qwen/Qwen2.5-0.5B-Instruct,,,,0.0,5e-06,,96,1,0.23958333333333334,async_train,96,0,,,96,,0.0,0.0,0.0,256,0.1,,True,0,0.0,0.0,2.0,,,results/experiments/final_report_8h_interactive_20260421_195453/gsm8k/async/006__mode-async_train__k-2__seed-0__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-1,006__mode-async_train__k-2__seed-0__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-1,0,,2,0.9,0.95,,96,,4,24,259.97386169433594,0.0
1.0,,0.00024482111136118573,0.07291666666666667,34.82909209519271,hf_trainable,,data/gsm8k_train.jsonl,0,auto,0.0,,,0,0.11383723810509305,1,24,,1.0,0.2,0,0.02,eager,1,float32,Qwen/Qwen2.5-0.5B-Instruct,,,,0.0,5e-06,,96,1,0.23958333333333334,async_train,96,0,,,96,,0.07291666666666667,0.2916666666666667,0.0,256,0.1,,True,0,0.033202527780652136,0.2916666666666667,2.0,,,results/experiments/final_report_8h_interactive_20260421_195453/gsm8k/async/007__mode-async_train__k-2__seed-1__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-0,007__mode-async_train__k-2__seed-1__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-0,1,,2,0.9,0.95,,96,,4,24,210.82732152938843,0.0
1.0,,0.00023425370454788208,0.020833333333333332,34.1860672725651,hf_trainable,,data/gsm8k_train.jsonl,1,auto,0.0,,,0,0.0884908267875129,1,24,,1.0,0.2,0,0.02,eager,1,float32,Qwen/Qwen2.5-0.5B-Instruct,,,,0.0,5e-06,,96,1,0.23958333333333334,async_train,96,0,,,96,,0.020833333333333332,0.08333333333333333,0.0,256,0.1,,True,0,0.0073742355656260744,0.08333333333333333,2.0,,,results/experiments/final_report_8h_interactive_20260421_195453/gsm8k/async/008__mode-async_train__k-2__seed-1__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-1,008__mode-async_train__k-2__seed-1__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-1,1,,2,0.9,0.95,,96,,4,24,271.2145526409149,0.0
1.0,,0.00024171173572540283,0.0625,33.849653572064064,hf_trainable,,data/gsm8k_train.jsonl,0,auto,0.0,,,0,0.09698630793467362,1,24,,1.0,0.2,0,0.02,eager,1,float32,Qwen/Qwen2.5-0.5B-Instruct,,,,0.0,5e-06,,96,1,0.23958333333333334,async_train,96,0,,,96,,0.0625,0.25,0.0,256,0.1,,True,0,0.024246576983668406,0.25,2.0,,,results/experiments/final_report_8h_interactive_20260421_195453/gsm8k/async/009__mode-async_train__k-4__seed-0__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-0,009__mode-async_train__k-4__seed-0__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-0,0,,4,0.9,0.95,,96,,4,24,247.45761036872864,0.0
1.0,,0.0002418483297030131,0.0,34.19479356757273,hf_trainable,,data/gsm8k_train.jsonl,1,auto,0.0,,,0,0.08860969109888804,1,24,,1.0,0.2,0,0.02,eager,1,float32,Qwen/Qwen2.5-0.5B-Instruct,,,,0.0,5e-06,,96,1,0.23958333333333334,async_train,96,0,,,96,,0.0,0.0,0.0,256,0.1,,True,0,0.0,0.0,2.0,,,results/experiments/final_report_8h_interactive_20260421_195453/gsm8k/async/010__mode-async_train__k-4__seed-0__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-1,010__mode-async_train__k-4__seed-0__ub-4__q-256__ep-1__b-hf_trainable__lr-5e-06__nr-na__nt-na__pdelay-0.0__ldelay-0.0__dec-1,0,,4,0.9,0.95,,96,,4,24,270.8507354259491,0.0
